timesteps,trial,premort_total,postmort_total,hatch_interval,adult_number,total_mosquito_number,larvae_number,mort_time,mort_percent,tot,diff,pop_persist,treatment
1000,25,27427,27337,asynch,20,417,385,control,0,405,-90,1,1
1000,26,26778,27440,asynch,20,387,357,control,0,377,662,1,1
1000,27,27534,27621,asynch,15,401,379,control,0,394,87,1,1
1000,28,26726,28128,asynch,16,395,370,control,0,386,1402,1,1
1000,29,27419,27075,asynch,23,414,379,control,0,402,-344,1,1
1000,30,27128,28035,asynch,23,438,404,control,0,427,907,1,1
1000,31,27351,26867,asynch,20,412,380,control,0,400,-484,1,1
1000,32,27183,28461,asynch,18,389,363,control,0,381,1278,1,1
1000,33,28457,27743,asynch,17,434,409,control,0,426,-714,1,1
1000,34,27461,27476,asynch,19,428,397,control,0,416,15,1,1
1000,35,27332,28482,asynch,20,428,399,control,0,419,1150,1,1
1000,36,27304,28938,asynch,18,424,398,control,0,416,1634,1,1
1000,37,27906,27080,asynch,17,457,430,control,0,447,-826,1,1
1000,38,27530,26831,asynch,15,403,381,control,0,396,-699,1,1
1000,39,27509,27976,asynch,20,410,379,control,0,399,467,1,1
1000,40,26842,27238,asynch,15,438,416,control,0,431,396,1,1
1000,41,27297,28301,asynch,20,416,387,control,0,407,1004,1,1
1000,42,27374,27507,asynch,22,430,396,control,0,418,133,1,1
1000,43,27947,27562,asynch,15,420,400,control,0,415,-385,1,1
1000,44,27836,28012,asynch,20,441,412,control,0,432,176,1,1
1000,45,28289,27221,asynch,23,382,345,control,0,368,-1068,1,1
1000,46,28156,27785,asynch,24,415,382,control,0,406,-371,1,1
1000,47,27191,28423,asynch,14,422,401,control,0,415,1232,1,1
1000,48,27221,27120,asynch,13,441,420,control,0,433,-101,1,1
1000,49,27174,27332,asynch,17,400,369,control,0,386,158,1,1
1000,400,26960,25744,asynch,23,425,387,early,10,410,-1216,1,2
1000,401,27311,27464,asynch,22,334,300,early,10,322,153,1,2
1000,402,27170,27191,asynch,18,382,354,early,10,372,21,1,2
1000,403,27655,26716,asynch,27,434,391,early,10,418,-939,1,2
1000,404,27585,26740,asynch,22,370,335,early,10,357,-845,1,2
1000,405,27528,26161,asynch,17,392,366,early,10,383,-1367,1,2
1000,406,28245,27069,asynch,24,376,339,early,10,363,-1176,1,2
1000,407,26831,26246,asynch,15,356,332,early,10,347,-585,1,2
1000,408,27915,26383,asynch,19,402,371,early,10,390,-1532,1,2
1000,409,27826,26939,asynch,11,390,375,early,10,386,-887,1,2
1000,410,27242,26486,asynch,14,392,372,early,10,386,-756,1,2
1000,411,27972,26286,asynch,23,401,364,early,10,387,-1686,1,2
1000,412,27483,26877,asynch,19,409,378,early,10,397,-606,1,2
1000,413,28132,26430,asynch,23,386,351,early,10,374,-1702,1,2
1000,414,27817,27371,asynch,14,385,360,early,10,374,-446,1,2
1000,415,28082,26670,asynch,15,400,379,early,10,394,-1412,1,2
1000,416,27941,27846,asynch,17,382,359,early,10,376,-95,1,2
1000,417,27168,26395,asynch,20,416,382,early,10,402,-773,1,2
1000,418,28443,26943,asynch,15,428,407,early,10,422,-1500,1,2
1000,419,27435,27137,asynch,19,400,370,early,10,389,-298,1,2
1000,420,26954,27199,asynch,28,448,405,early,10,433,245,1,2
1000,421,26199,26652,asynch,14,399,377,early,10,391,453,1,2
1000,422,27928,25971,asynch,14,413,393,early,10,407,-1957,1,2
1000,423,27809,26769,asynch,17,422,396,early,10,413,-1040,1,2
1000,424,27504,27504,asynch,14,377,353,early,10,367,0,1,2
