timesteps,trial,premort_adults,postmort_adults,hatch_interval,adult_number,total_mosquito_number,food_recolonize_chance,mort_time,mort_percent,diff,pop_persist,treatment
1000,1075,412,414,asynch,10,224,0.10,late,10,2,1,1
1000,1076,441,405,asynch,12,197,0.10,late,10,-36,1,1
1000,1077,441,404,asynch,12,206,0.10,late,10,-37,1,1
1000,1078,401,400,asynch,9,209,0.10,late,10,-1,1,1
1000,1079,417,405,asynch,12,206,0.10,late,10,-12,1,1
1000,1080,420,396,asynch,14,218,0.10,late,10,-24,1,1
1000,1081,402,399,asynch,13,197,0.10,late,10,-3,1,1
1000,1082,387,413,asynch,11,202,0.10,late,10,26,1,1
1000,1083,406,391,asynch,8,246,0.10,late,10,-15,1,1
1000,1084,441,385,asynch,6,247,0.10,late,10,-56,1,1
1000,1085,413,389,asynch,10,229,0.10,late,10,-24,1,1
1000,1086,426,392,asynch,6,190,0.10,late,10,-34,1,1
1000,1087,425,394,asynch,12,201,0.10,late,10,-31,1,1
1000,1088,407,390,asynch,10,196,0.10,late,10,-17,1,1
1000,1089,409,404,asynch,7,206,0.10,late,10,-5,1,1
1000,1090,414,438,asynch,10,194,0.10,late,10,24,1,1
1000,1091,421,394,asynch,8,187,0.10,late,10,-27,1,1
1000,1092,409,396,asynch,13,229,0.10,late,10,-13,1,1
1000,1093,425,401,asynch,7,208,0.10,late,10,-24,1,1
1000,1094,433,419,asynch,9,188,0.10,late,10,-14,1,1
1000,1095,419,395,asynch,11,219,0.10,late,10,-24,1,1
1000,1096,430,412,asynch,5,217,0.10,late,10,-18,1,1
1000,1097,444,402,asynch,14,208,0.10,late,10,-42,1,1
1000,1098,411,398,asynch,15,202,0.10,late,10,-13,1,1
1000,1099,384,421,asynch,12,242,0.10,late,10,37,1,1
1000,1100,2098,1938,asynch,37,944,0.50,late,10,-160,1,2
1000,1101,2075,1980,asynch,40,961,0.50,late,10,-95,1,2
1000,1102,2037,1967,asynch,34,926,0.50,late,10,-70,1,2
1000,1103,2078,1981,asynch,36,957,0.50,late,10,-97,1,2
1000,1104,2079,1944,asynch,35,946,0.50,late,10,-135,1,2
1000,1105,2002,1967,asynch,49,972,0.50,late,10,-35,1,2
1000,1106,2070,1964,asynch,47,973,0.50,late,10,-106,1,2
1000,1107,2034,1927,asynch,39,896,0.50,late,10,-107,1,2
1000,1108,2026,1966,asynch,44,978,0.50,late,10,-60,1,2
