timesteps,trial,premort_adults,postmort_adults,hatch_interval,adult_number,total_mosquito_number,moves,mort_time,mort_percent,diff,pop_persist,treatment
1000,75,846,809,asynch,13,338,2,late,10,-37,1,1
1000,76,827,797,asynch,24,385,2,late,10,-30,1,1
1000,77,831,804,asynch,23,400,2,late,10,-27,1,1
1000,78,833,813,asynch,10,403,2,late,10,-20,1,1
1000,79,820,799,asynch,21,406,2,late,10,-21,1,1
1000,80,832,782,asynch,16,363,2,late,10,-50,1,1
1000,81,847,821,asynch,22,404,2,late,10,-26,1,1
1000,82,821,801,asynch,21,369,2,late,10,-20,1,1
1000,83,836,794,asynch,19,350,2,late,10,-42,1,1
1000,84,828,781,asynch,19,409,2,late,10,-47,1,1
1000,85,842,813,asynch,15,402,2,late,10,-29,1,1
1000,86,818,810,asynch,17,334,2,late,10,-8,1,1
1000,87,831,826,asynch,16,375,2,late,10,-5,1,1
1000,88,862,793,asynch,16,367,2,late,10,-69,1,1
1000,89,826,806,asynch,15,346,2,late,10,-20,1,1
1000,90,827,814,asynch,14,390,2,late,10,-13,1,1
1000,91,825,828,asynch,16,383,2,late,10,3,1,1
1000,92,849,779,asynch,14,373,2,late,10,-70,1,1
1000,93,853,807,asynch,21,380,2,late,10,-46,1,1
1000,94,817,793,asynch,18,369,2,late,10,-24,1,1
1000,95,817,801,asynch,16,384,2,late,10,-16,1,1
1000,96,850,797,asynch,27,412,2,late,10,-53,1,1
1000,97,814,797,asynch,14,372,2,late,10,-17,1,1
1000,98,823,777,asynch,20,397,2,late,10,-46,1,1
1000,99,831,783,asynch,25,387,2,late,10,-48,1,1
1000,100,851,743,asynch,16,356,2,late,25,-108,1,2
1000,101,840,734,asynch,14,369,2,late,25,-106,1,2
1000,102,826,764,asynch,20,346,2,late,25,-62,1,2
1000,103,866,714,asynch,22,429,2,late,25,-152,1,2
1000,104,821,754,asynch,10,393,2,late,25,-67,1,2
1000,105,853,732,asynch,19,356,2,late,25,-121,1,2
1000,106,811,746,asynch,17,355,2,late,25,-65,1,2
1000,107,833,712,asynch,21,353,2,late,25,-121,1,2
1000,108,810,743,asynch,18,349,2,late,25,-67,1,2
1000,109,842,715,asynch,17,370,2,late,25,-127,1,2
1000,110,839,729,asynch,16,365,2,late,25,-110,1,2
1000,111,815,724,asynch,19,361,2,late,25,-91,1,2
1000,112,845,759,asynch,27,383,2,late,25,-86,1,2
1000,113,831,726,asynch,12,321,2,late,25,-105,1,2
1000,114,853,735,asynch,10,388,2,late,25,-118,1,2
1000,115,831,717,asynch,8,353,2,late,25,-114,1,2
1000,116,829,749,asynch,29,385,2,late,25,-80,1,2
1000,117,839,750,asynch,24,359,2,late,25,-89,1,2
1000,118,811,746,asynch,16,363,2,late,25,-65,1,2
1000,119,820,732,asynch,9,363,2,late,25,-88,1,2
1000,120,842,754,asynch,13,351,2,late,25,-88,1,2
1000,121,826,775,asynch,18,365,2,late,25,-51,1,2
1000,122,837,757,asynch,25,341,2,late,25,-80,1,2
1000,123,845,717,asynch,13,353,2,late,25,-128,1,2
1000,124,827,742,asynch,13,361,2,late,25,-85,1,2
1000,125,851,563,asynch,21,339,2,late,50,-288,1,3
1000,126,831,563,asynch,17,301,2,late,50,-268,1,3
1000,127,842,576,asynch,22,336,2,late,50,-266,1,3
1000,128,858,586,asynch,18,319,2,late,50,-272,1,3
1000,129,847,588,asynch,10,326,2,late,50,-259,1,3
1000,130,841,575,asynch,12,298,2,late,50,-266,1,3
